review_text,review_star
Best for the price. Feeling this after 15 days of usage. Face unlock works awesome in almost light situations. Battery standby and overall performance is very good,4.0 out of 5 stars
"Very good phone .It has very good camera,battery last for 2days,no heating issues,face unlock is quick but lags in low light,back panel is very glossy & royal type",5.0 out of 5 stars
Very good in this price range,5.0 out of 5 stars
RS 8990 oppo mobile normal,4.0 out of 5 stars
I ordered this product to my father. I am really happy to see the performance of this product. Having got this gift my father is too happy. Thnx amazon.,5.0 out of 5 stars
"Back camera is very good but front is not too, battery life is also super ,",4.0 out of 5 stars
Very nice phone value for money..,5.0 out of 5 stars
"Good phone. Battery really good, display, camera also nice but night mode photo is very poor",5.0 out of 5 stars
Review after using one month phone,4.0 out of 5 stars
Overall the phone is nice. Camera is decent. Battery backup is Very good. Display and sound is also good  I got a very good deal for my old phone. Thanks to Amazon.,4.0 out of 5 stars
Good,5.0 out of 5 stars
Super,3.0 out of 5 stars
Very affordable price very nice phone,5.0 out of 5 stars
Picture quality is nce taking about the battery itz very gud the only thing it dosnt have fringer print sensor otherwse best phn in gud prce range,4.0 out of 5 stars
Good,5.0 out of 5 stars
nice specification with cheap price but not getting update of os,5.0 out of 5 stars
This phone have a good battery life so in this range phone is good,4.0 out of 5 stars
Setisfiying product,5.0 out of 5 stars
All features are too good at such a price. Battery n camera are outstanding. Very satisfied..,5.0 out of 5 stars
It's average  phone better to buy mi 6 pro,3.0 out of 5 stars
Oppo phone camera quality Good.. Display size big To perfect. Nice phone,5.0 out of 5 stars
Good phone at 9k.good sound quality awesome battery backup.2 days backup on continuesly use.phone little bit slowly work on 2 GB RAM but overall good.,3.0 out of 5 stars
Very bad products,1.0 out of 5 stars
best,5.0 out of 5 stars
Display and battery backup is great but camera and performance is average.,4.0 out of 5 stars
"I can say this is best gift, I gifted.. 🎁",5.0 out of 5 stars
Phone is ok but i didn't receive any bill regarding the product,5.0 out of 5 stars
Best phone,5.0 out of 5 stars
Not bad but value of money is to high because according to other brand like realme he give us 4 gb ram and 64 gb rom in 11 thousand so that my opinion,5.0 out of 5 stars
Good budget phone,4.0 out of 5 stars
Money back phone,5.0 out of 5 stars
the bill is not clear as it was required for official purpose and no other way to download the same from the app,3.0 out of 5 stars
Recommend to all,5.0 out of 5 stars
Worst product seen in my whole life,1.0 out of 5 stars
Every features of this mobile is good.,5.0 out of 5 stars
The phone is great as per price and overall lack in charging it takes to much time to charge 0-100 this is the down size i feel,4.0 out of 5 stars
very much impressed,5.0 out of 5 stars
Super pictures quality battery proformence also good,5.0 out of 5 stars
"One of the best thing is Camera,",5.0 out of 5 stars
It's worthy but headphone are missing..please provide the headphones ... otherwise phone is good..looking wise and software is smooth,4.0 out of 5 stars
Only dislike the product cost to high spec is low,3.0 out of 5 stars
Good phone,5.0 out of 5 stars
Nice budget mobile with good quality sound and camera but it should have fingerprint sensor,5.0 out of 5 stars
Really like it. Value for money,5.0 out of 5 stars
No,1.0 out of 5 stars
Front camera is not good as expected.,4.0 out of 5 stars
"Value for money, picture, sound and battery good , overall performance is good per rate",4.0 out of 5 stars
Dislike this product because sound is not best,1.0 out of 5 stars
