review_text,review_star
Phone is in excellent shape. Put in T-Mobile prepaid sim works with no issues. Used the phone for a couple hours (iPhone 6s plus) no issues. However when I did the iOS 11.2.6 update after an hr phone randomly crashes has a glitchy screen like someone broke an lcd tv. So I don’t know if it’s the update or the phone otherwise it works well.,4.0 out of 5 stars
I got my phone days before it stayed it would and I was pleased. The phone had no scratches and no dents or scuffs. The battery was draining very fastly but that was expected with a phone this old. I had the phone checked out and it had never been opened inside. This is the best deal!  (Got it from MyWit),5.0 out of 5 stars
great product.,5.0 out of 5 stars
**BUYER BEWARE**,1.0 out of 5 stars
Suddenly my phone just touch the ice cream that I had and then I clean right away but then the speaker was gone from loudspeakers to small how can I fix it?,5.0 out of 5 stars
"I know it's a certified refurbished iPhone, but it looks brand new . It was a Christmas gift for my daughter and she loves it. We were full to get it",5.0 out of 5 stars
Looked brand new when it arrived !! I have had it  about 60 days now and I have no complaints!!,5.0 out of 5 stars
"Phone works perfectly. No imperfections, so happy I decided to buy.",5.0 out of 5 stars
great price...good quality,5.0 out of 5 stars
Came in packaged safely; hardly any wear and tear and quite frankly looked brand new! After three months I have had no problems and love my phone! Great quality and would buy again if needed.,5.0 out of 5 stars
Phone came in great shape,5.0 out of 5 stars
Exactly as I was hoping. Looks and functions like brand new.,5.0 out of 5 stars
Extremely pleased the phone looks like and works like brand new and arrived on time thanks for a very good deal,5.0 out of 5 stars
did not come gsm unlocked as advertised:( very sad just returned it!,1.0 out of 5 stars
Great condition for a greater price.,5.0 out of 5 stars
"I received this phone in good condition with a minor scuff on the bottom. Battery life wasn’t great, but I replaced it with apple’s $29 battery replacement program. Otherwise I would rate this phone a 4.5/5",5.0 out of 5 stars
I ordered this phone not knowing what to expect but I absolutely loved. The phone itself is like new with only a minor scuff on the back that you can't even notice with a case on. It arrived with a charger and everything worked fine. I would consider buying another phone from here in the future.,5.0 out of 5 stars
This phone works perfectly. I ordered one from another company and it was totally messed up. They didn’t want to refund me so I purchased one from this company and it’s in perfect condition and no problems at all!!! Love it!,5.0 out of 5 stars
I love my iPhone! This is great product,5.0 out of 5 stars
The best iphone ever,5.0 out of 5 stars
I really do like this phone. It is a good price for the great condition it is in. But be careful sometimes certified  refurbished phones are a little sketch but the sell of this on is trustworthy I think. Anyways the phone came in great condition but the box it came in was a little sketchy.,5.0 out of 5 stars
"I bought it, and every thing has been working perfectly, phone looks brandnew",5.0 out of 5 stars
Had it a few days now love it everything work was more than I expect no scratched unlock using simple mobile,5.0 out of 5 stars
good,5.0 out of 5 stars
I bought this for my teenage son and it looks and works like new.,5.0 out of 5 stars
Great value,5.0 out of 5 stars
"Phone glitches a little , battery life is kind of weak",4.0 out of 5 stars
"Like brand new!Much better than I thought.It works great.Unlocked phone,no problem to activate.",5.0 out of 5 stars
Just like most people I was unsure about buying the phone but at the time there was a 64 percent 5 stars so I decided to go with it then i got the phone and it turned out great.,5.0 out of 5 stars
Most the size and capabilities less the battery charge it,4.0 out of 5 stars
Very good,5.0 out of 5 stars
Great product at a reasonable price,5.0 out of 5 stars
Battery dies very fast and it is very annoying,2.0 out of 5 stars
There are several dents on the left top side of the phone that they did not mention about at all in their  page!,1.0 out of 5 stars
Defective phones! Rip off! Ordered an iphone 6s Plus as a Christmas gift and the camera doesn't work! Ruined Christmas and made me look bad for buying an iPhone off Amazon. Never again. Amazon 3rd party resellers are the same as eBay scammers.,1.0 out of 5 stars
Phone 9-10.,4.0 out of 5 stars
great phone comes in perfect condition. you wouldn't even know its a refurbished,4.0 out of 5 stars
,5.0 out of 5 stars
"Item as described, meet and exceeded my expectations",5.0 out of 5 stars
It is a great product!! This is the first time buying refurbished items and I am very pleased,5.0 out of 5 stars
This phone was a great bang for my buck.  It looks practically brand new and runs very smoothly and fast !!,5.0 out of 5 stars
Works just as you'd expect.,5.0 out of 5 stars
great phone,5.0 out of 5 stars
Works great for about 2 weeks then gets super glitchy camera gets really shakey whenever taking a picture.,1.0 out of 5 stars
